"Date","Miles"
"5/15/2023",5
"5/16/2023",0
"5/17/2023",4
"5/18/2023",5
"5/19/2023",0
"5/20/2023",6
"5/21/2023",4
"5/22/2023",5
"5/23/2023",0
"5/24/2023",4
"5/25/2023",5
"5/26/2023",0
"5/27/2023",6
"5/28/2023",3
"5/29/2023",5
"5/30/2023",0
"5/31/2023",4
"6/1/2023",5
"6/2/2023",0
"6/3/2023",6
"6/4/2023",3
"6/5/2023",5
"6/6/2023",0
"6/7/2023",4
"6/8/2023",5
"6/9/2023",0
"6/10/2023",6
"6/11/2023",3
"6/12/2023",5
"6/13/2023",0
"6/14/2023",4
"6/15/2023",5
"6/16/2023",0
"6/17/2023",7
"6/18/2023",3
"6/19/2023",5
"6/20/2023",0
"6/21/2023",4
"6/22/2023",5
"6/23/2023",0
"6/24/2023",7
"6/25/2023",3
"6/26/2023",5
"6/27/2023",0
"6/28/2023",4
"6/29/2023",5
"6/30/2023",0
"7/1/2023",8
"7/2/2023",3
"7/3/2023",5
"7/4/2023",0
"7/5/2023",4
"7/6/2023",5
"7/7/2023",0
"7/8/2023",10
"7/9/2023",3
"7/10/2023",5
"7/11/2023",0
"7/12/2023",4
"7/13/2023",5
"7/14/2023",0
"7/15/2023",11
"7/16/2023",3
"7/17/2023",6
"7/18/2023",0
"7/19/2023",4
"7/20/2023",6
"7/21/2023",0
"7/22/2023",8
"7/23/2023",3
"7/24/2023",6
"7/25/2023",0
"7/26/2023",4
"7/27/2023",6
"7/28/2023",0
"7/29/2023",13
"7/30/2023",3
"7/31/2023",7
"8/1/2023",0
"8/2/2023",4
"8/3/2023",7
"8/4/2023",0
"8/5/2023",14
"8/6/2023",3
"8/7/2023",7
"8/8/2023",0
"8/9/2023",4
"8/10/2023",7
"8/11/2023",0
"8/12/2023",10
"8/13/2023",3
"8/14/2023",8
"8/15/2023",0
"8/16/2023",4
"8/17/2023",8
"8/18/2023",0
"8/19/2023",16
"8/20/2023",4
"8/21/2023",8
"8/22/2023",0
"8/23/2023",4
"8/24/2023",8
"8/25/2023",0
"8/26/2023",17
"8/27/2023",4
"8/28/2023",9
"8/29/2023",0
"8/30/2023",4
"8/31/2023",0
"9/1/2023",0
"9/2/2023",13.1
"9/3/2023",4
"9/4/2023",9
"9/5/2023",0
"9/6/2023",4
"9/7/2023",9
"9/8/2023",0
"9/9/2023",19
"9/10/2023",4
"9/11/2023",10
"9/12/2023",0
"9/13/2023",4
"9/14/2023",10
"9/15/2023",0
"9/16/2023",20
"9/17/2023",5
"9/18/2023",6
"9/19/2023",0
"9/20/2023",4
"9/21/2023",6
"9/22/2023",0
"9/23/2023",12
"9/24/2023",5
"9/25/2023",10
"9/26/2023",0
"9/27/2023",4
"9/28/2023",10
"9/29/2023",0
"9/30/2023",20
"10/1/2023",5
"10/2/2023",6
"10/3/2023",0
"10/4/2023",4
"10/5/2023",6
"10/6/2023",0
"10/7/2023",12
"10/8/2023",5
"10/9/2023",10
"10/10/2023",0
"10/11/2023",4
"10/12/2023",10
"10/13/2023",0
"10/14/2023",20
"10/15/2023",5
"10/16/2023",8
"10/17/2023",0
"10/18/2023",4
"10/19/2023",4
"10/20/2023",0
"10/21/2023",12
"10/22/2023",5
"10/23/2023",6
"10/24/2023",0
"10/25/2023",4
"10/26/2023",4
"10/27/2023",0
"10/28/2023",8
"10/29/2023",4
"10/30/2023",3
"10/31/2023",0
"11/1/2023",0
"11/2/2023",4
"11/3/2023",0
"11/4/2023",2
"11/5/2023",26.2